url_id,url,status,product_name,variants,error
TONES-PROD-URL-0001,https://www.tonesfashion.com/products/daily-tees-black-copy,SUCCESS,Daily Tees - black,5,
TONES-PROD-URL-0002,https://www.tonesfashion.com/products/daily-tees-orange,SUCCESS,Daily Tees - orange,5,
TONES-PROD-URL-0003,https://www.tonesfashion.com/products/tones-original-black,SUCCESS,Tones Original - Black,5,
TONES-PROD-URL-0004,https://www.tonesfashion.com/products/chaotic-good-pink-1,SUCCESS,Chaotic Good - Pink - C5,5,
TONES-PROD-URL-0005,https://www.tonesfashion.com/products/round-neck-slim-fit-tee-navy-blue-copy,SUCCESS,Round Neck Slim Fit Tee - White,5,
TONES-PROD-URL-0006,https://www.tonesfashion.com/products/round-neck-slim-fit-tee-white-copy,SUCCESS,Round Neck Slim Fit Tee – Grey,5,
TONES-PROD-URL-0007,https://www.tonesfashion.com/products/elivated-basics-oversized,SUCCESS,Elevated Basics - Relaxed - Beige Color,4,
TONES-PROD-URL-0008,https://www.tonesfashion.com/products/elevated-basics-oversized-copy,SUCCESS,Elevated Basics - Relaxed - Black Color,4,
TONES-PROD-URL-0009,https://www.tonesfashion.com/products/elevated-basics-oversized-copy-copy,SUCCESS,Elevated Basics - Relaxed - White Color,4,
TONES-PROD-URL-0010,https://www.tonesfashion.com/products/storm-weaver-relaxed-fit-coffee-beige,SUCCESS,STORM WEAVER  OVERSIZED TEE - COFEE BEIGE,5,
TONES-PROD-URL-0011,https://www.tonesfashion.com/products/predator-tee-relaxed-fit-white,FAILED,,0,curl: (22) The requested URL returned error: 404
TONES-PROD-URL-0012,https://www.tonesfashion.com/products/predator-tee-relaxed-fit-green,SUCCESS,PREDATOR OVERSIZED TEE - GREEN,5,
TONES-PROD-URL-0013,https://www.tonesfashion.com/products/anti-perfect-tee-cofee-beige,SUCCESS,ANTI-PERFECT OVERSIZED TEE - COFEE BEIGE,4,
TONES-PROD-URL-0014,https://www.tonesfashion.com/products/tones-embroidery-cap-brown,SUCCESS,Tones Embroidery Cap - Brown,0,
TONES-PROD-URL-0015,https://www.tonesfashion.com/products/maroon-satin-shirt,SUCCESS,Maroon Satin Shirt,5,
TONES-PROD-URL-0016,https://www.tonesfashion.com/products/electric-blue-satin-shirt,SUCCESS,Electric Blue Satin Shirt,5,
TONES-PROD-URL-0017,https://www.tonesfashion.com/products/cream-chinos,SUCCESS,Cream Chinos,5,
TONES-PROD-URL-0018,https://www.tonesfashion.com/products/beige-flannel-shirt-copy,FAILED,,0,curl: (22) The requested URL returned error: 404
TONES-PROD-URL-0019,https://www.tonesfashion.com/products/red-drip-sweatshirt,SUCCESS,Red Drip Sweatshirt,4,
TONES-PROD-URL-0020,https://www.tonesfashion.com/products/blue-drip-sweatshirt-copy,SUCCESS,Blue Drip Sweatshirt,4,
TONES-PROD-URL-0021,https://www.tonesfashion.com/products/urban-drfit-green,FAILED,,0,curl: (22) The requested URL returned error: 404
