source_collection_id,product_handle,product_id,variant_id,collection_ids
TONES-COL-0036,tones-original-black,10547296174273,48606816534721,479542378689|490862379201|473433669825|473433571521|474547093697|491823464641|474531004609|293299388609|477701308609|475876458689
TONES-COL-0043,petal-trays-charcoal-green-short-kurta,10881197572289,49880937562305,483744415937|485820989633|290105786561|284518514881|284518645953|491823464641
TONES-COL-0043,scenic-still-ness-sage-green-1,10881197867201,49880939561153,483744415937|485820989633|290105786561|284518514881|284518645953|491823464641
TONES-COL-0043,petal-trays-teal-blue-short-kurta,10881143406785,49880655659201,483744415937|485820989633|290105786561|284518514881|284518645953|491823464641
TONES-COL-0043,scenic-still-ness-butter-yellow-short-kurta,10881142653121,49880653594817,483744415937|485820989633|290105786561|284518514881|284518645953|491823464641
TONES-COL-0043,tusker-tails-soft-cream-short-kurta,10881142292673,49880653037761,483744415937|485820989633|290105786561|284518514881|284518645953|491823464641
TONES-COL-0043,cream-short-kurta-copy,10881141833921,49880652054721,483744415937|485820989633|290105786561|284518514881|284518645953|491823464641
TONES-COL-0044,deep-sage-gauze-cotton-shirt,11058097160385,50586274922689,491790434497|293003460801|485747097793|288566313153|284518514881|483538763969
TONES-COL-0044,mustard-gauze-cotton-shirt,11058096734401,50546894307521,491790434497|293003460801|485747097793|288566313153|284518514881|483538763969
TONES-COL-0044,jet-black-satin-shirt-copy,11058090246337,50546882117825,491790434497|293003460801|485747097793|288566313153|284518514881|483538763969
TONES-COL-0044,muted-peach-gauze-cotton-shirt,11058096898241,50546894602433,491790434497|293003460801|485747097793|288566313153|284518514881|483538763969
TONES-COL-0051,ivory-sand-modal-shirt,11012841373889,50382586740929,489879994561|293003460801|485747097793|284518514881|483538763969|491823464641|489910337729|487623786689
TONES-COL-0053,acid-wash-muscle-tee,10984163705025,50255244099777,492303712449|293003460801|474547093697|284518547649|491823464641|487623786689|474531004609
TONES-COL-0054,deep-sage-gauze-cotton-shirt,11058097160385,50586274922689,491790434497|293003460801|485747097793|288566313153|284518514881|483538763969
TONES-COL-0054,jet-black-satin-shirt-copy,11058090246337,50546882117825,491790434497|293003460801|485747097793|288566313153|284518514881|483538763969
TONES-COL-0054,mustard-gauze-cotton-shirt,11058096734401,50546894307521,491790434497|293003460801|485747097793|288566313153|284518514881|483538763969
TONES-COL-0054,muted-peach-gauze-cotton-shirt,11058096898241,50546894602433,491790434497|293003460801|485747097793|288566313153|284518514881|483538763969
TONES-COL-0054,the-alpha-oversized-tee,11051699667137,50525600710849,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0054,the-alpha-oversized-tee-copy,11051705925825,50525615587521,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0054,the-final-act-oversized-tee-copy,11051711365313,50525626335425,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0054,jet-black-shirt,11040950452417,50484132675777,491790762177|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|491332731073
TONES-COL-0054,navy-blue-shirt,11040950124737,50484131266753,491790762177|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|491332731073
TONES-COL-0054,burgundy-satin-shirt,11040949436609,50484129530049,491790762177|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|491332731073
TONES-COL-0054,soft-white-satin-shirt-copy,11040948879553,50484128284865,491790762177|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|491332731073
TONES-COL-0054,soft-white-satin-shirt,11040948256961,50484126744769,491790762177|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|491332731073
TONES-COL-0054,navy-blue-acid-wash-t-shirt-2,11027260997825,50427320860865,490551181505|471435739329|470701048001|293003460801|485747097793|474547093697|284518547649|491823464641|487623786689
TONES-COL-0054,navy-blue-acid-wash-t-shirt-1,11027260408001,50427315257537,490551181505|471435739329|470701048001|293003460801|485747097793|474547093697|284518547649|491823464641|487623786689
TONES-COL-0054,rustic-brown-acid-wash-t-shirt,11027259588801,50427312111809,490551181505|471435739329|470701048001|293003460801|485747097793|474547093697|284518547649|491823464641|489800040641|487623786689
TONES-COL-0054,ivory-sand-modal-shirt,11012841373889,50382586740929,489879994561|293003460801|485747097793|284518514881|483538763969|491823464641|489910337729|487623786689
TONES-COL-0054,acid-wash-muscle-tee,10984163705025,50255244099777,492303712449|293003460801|474547093697|284518547649|491823464641|487623786689|474531004609
TONES-COL-0054,maroon-courdry-shacket-copy,10907453161665,49963396825281,479128486081|486469140673|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|487623786689
TONES-COL-0054,navy-blue-courdury-shacket,10907446378689,49963381555393,479128486081|486469140673|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|487623786689
TONES-COL-0054,olive-green-cargos,10897643536577,49934144078017,476140306625|473433604289|293003460801|485747097793|289775419585|491823464641
TONES-COL-0054,grey-cargo,10897638097089,49934133264577,476140306625|473433604289|293003460801|485747097793|289775419585|491823464641
TONES-COL-0054,maroon-double-pocket-shirt,10852507680961,49663569920193,293003460801|288566313153|284518514881|483538763969|491823464641
TONES-COL-0054,brown-double-pocket-shacket,10852506468545,49663564611777,479128486081|486469140673|293003460801|485747097793|490862379201|288566313153|284518514881|483538763969|491823464641
TONES-COL-0054,grey-double-pocket-shacket,10852506435777,49663563104449,479128486081|486469140673|293003460801|485747097793|490862379201|288566313153|284518514881|483538763969|491823464641
TONES-COL-0054,charcoal-grey-flannel-double-pocket-shirt,10852506239169,49663562481857,479128486081|486469140673|293003460801|490862379201|288566313153|284518514881|483538763969|491823464641
TONES-COL-0054,black-flannel-double-pocket-shirt,10852506075329,49663559205057,479128486081|486469140673|293003460801|288566313153|284518514881|483538763969|491823464641
TONES-COL-0054,dark-blue-checks-flanel,10848595542209,49648543170753,486469140673|293003460801|490862379201|284518514881|483538763969|491823464641
TONES-COL-0054,blue-checks-flanel,10848594067649,49648515088577,486469140673|293003460801|490862379201|284518514881|483538763969|491823464641
TONES-COL-0054,karma-white-shirt,10829637124289,49601271922881,483744415937|293003460801|284518514881|483538763969|491823464641
TONES-COL-0054,karma-jet-black-shirt,10829636960449,49601271005377,483744415937|293003460801|284518514881|483538763969|491823464641
TONES-COL-0054,marine-rayon,10826103390401,49581717422273,293003460801|284518514881|483538763969|491823464641|487623786689
TONES-COL-0054,tropic-rayon,10826102374593,49581711032513,293003460801|284518514881|483538763969|491823464641|487623786689
TONES-COL-0054,sage-rayon,10826100539585,49581700153537,293003460801|284518514881|483538763969|491823464641|487623786689
TONES-COL-0054,white-bloom-shirt,10826100211905,49581698482369,483744415937|293003460801|490862379201|284518514881|491823464641|487623786689
TONES-COL-0054,deep-sage-gauze-cotton-shirt-copy,11079219511489,50606631518401,293003460801|485747097793|288566313153|284518514881|483538763969|492225069249
TONES-COL-0054,blue-oxford-shirt-copy,11079247167681,50606710227137,293003460801|485747097793|288566313153|284518514881|483538763969|492225069249
TONES-COL-0054,yellow-oxford-shirt,11079248609473,50606712094913,293003460801|485747097793|288566313153|284518514881|483538763969|492225069249
